browser,shell,route,theme,breakpoint,width,height,result,contrast,interactiveContrast,overflow_px,scrollable,reason,evidence
chromium,marketing,/,bento,desktop,1280,800,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/desktop/bento/marketing-home.png
chromium,marketing,/,bento,mobile-s,375,667,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/mobile-s/bento/marketing-home.png
chromium,marketing,/,bento,tablet,768,1024,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/tablet/bento/marketing-home.png
chromium,marketing,/,brutal,desktop,1280,800,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/desktop/brutal/marketing-home.png
chromium,marketing,/,brutal,mobile-s,375,667,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/mobile-s/brutal/marketing-home.png
chromium,marketing,/,brutal,tablet,768,1024,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/tablet/brutal/marketing-home.png
chromium,marketing,/,copilot,desktop,1280,800,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/desktop/copilot/marketing-home.png
chromium,marketing,/,copilot,mobile-s,375,667,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/mobile-s/copilot/marketing-home.png
chromium,marketing,/,copilot,tablet,768,1024,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/tablet/copilot/marketing-home.png
chromium,marketing,/,cyber,desktop,1280,800,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/desktop/cyber/marketing-home.png
chromium,marketing,/,cyber,mobile-s,375,667,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/mobile-s/cyber/marketing-home.png
chromium,marketing,/,cyber,tablet,768,1024,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/tablet/cyber/marketing-home.png
chromium,marketing,/,earthy,desktop,1280,800,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/desktop/earthy/marketing-home.png
chromium,marketing,/,earthy,mobile-s,375,667,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/mobile-s/earthy/marketing-home.png
chromium,marketing,/,earthy,tablet,768,1024,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/tablet/earthy/marketing-home.png
chromium,marketing,/,glass,desktop,1280,800,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/desktop/glass/marketing-home.png
chromium,marketing,/,glass,mobile-s,375,667,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/mobile-s/glass/marketing-home.png
chromium,marketing,/,glass,tablet,768,1024,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/tablet/glass/marketing-home.png
chromium,marketing,/,kinetic,desktop,1280,800,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/desktop/kinetic/marketing-home.png
chromium,marketing,/,kinetic,mobile-s,375,667,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/mobile-s/kinetic/marketing-home.png
chromium,marketing,/,kinetic,tablet,768,1024,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/tablet/kinetic/marketing-home.png
chromium,marketing,/,soft,desktop,1280,800,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/desktop/soft/marketing-home.png
chromium,marketing,/,soft,mobile-s,375,667,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/mobile-s/soft/marketing-home.png
chromium,marketing,/,soft,tablet,768,1024,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/tablet/soft/marketing-home.png
chromium,marketing,/about,bento,desktop,1280,800,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/desktop/bento/marketing-about.png
chromium,marketing,/about,bento,mobile-s,375,667,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/mobile-s/bento/marketing-about.png
chromium,marketing,/about,bento,tablet,768,1024,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/tablet/bento/marketing-about.png
chromium,marketing,/about,brutal,desktop,1280,800,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/desktop/brutal/marketing-about.png
chromium,marketing,/about,brutal,mobile-s,375,667,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/mobile-s/brutal/marketing-about.png
chromium,marketing,/about,brutal,tablet,768,1024,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/tablet/brutal/marketing-about.png
chromium,marketing,/about,copilot,desktop,1280,800,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/desktop/copilot/marketing-about.png
chromium,marketing,/about,copilot,mobile-s,375,667,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/mobile-s/copilot/marketing-about.png
chromium,marketing,/about,copilot,tablet,768,1024,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/tablet/copilot/marketing-about.png
chromium,marketing,/about,cyber,desktop,1280,800,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/desktop/cyber/marketing-about.png
chromium,marketing,/about,cyber,mobile-s,375,667,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/mobile-s/cyber/marketing-about.png
chromium,marketing,/about,cyber,tablet,768,1024,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/tablet/cyber/marketing-about.png
chromium,marketing,/about,earthy,desktop,1280,800,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/desktop/earthy/marketing-about.png
chromium,marketing,/about,earthy,mobile-s,375,667,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/mobile-s/earthy/marketing-about.png
chromium,marketing,/about,earthy,tablet,768,1024,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/tablet/earthy/marketing-about.png
chromium,marketing,/about,glass,desktop,1280,800,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/desktop/glass/marketing-about.png
chromium,marketing,/about,glass,mobile-s,375,667,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/mobile-s/glass/marketing-about.png
chromium,marketing,/about,glass,tablet,768,1024,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/tablet/glass/marketing-about.png
chromium,marketing,/about,kinetic,desktop,1280,800,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/desktop/kinetic/marketing-about.png
chromium,marketing,/about,kinetic,mobile-s,375,667,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/mobile-s/kinetic/marketing-about.png
chromium,marketing,/about,kinetic,tablet,768,1024,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/tablet/kinetic/marketing-about.png
chromium,marketing,/about,soft,desktop,1280,800,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/desktop/soft/marketing-about.png
chromium,marketing,/about,soft,mobile-s,375,667,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/mobile-s/soft/marketing-about.png
chromium,marketing,/about,soft,tablet,768,1024,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/tablet/soft/marketing-about.png
chromium,marketing,/blog,bento,desktop,1280,800,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/desktop/bento/marketing-blog.png
chromium,marketing,/blog,bento,mobile-s,375,667,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/mobile-s/bento/marketing-blog.png
chromium,marketing,/blog,bento,tablet,768,1024,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/tablet/bento/marketing-blog.png
chromium,marketing,/blog,brutal,desktop,1280,800,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/desktop/brutal/marketing-blog.png
chromium,marketing,/blog,brutal,mobile-s,375,667,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/mobile-s/brutal/marketing-blog.png
chromium,marketing,/blog,brutal,tablet,768,1024,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/tablet/brutal/marketing-blog.png
chromium,marketing,/blog,copilot,desktop,1280,800,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/desktop/copilot/marketing-blog.png
chromium,marketing,/blog,copilot,mobile-s,375,667,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/mobile-s/copilot/marketing-blog.png
chromium,marketing,/blog,copilot,tablet,768,1024,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/tablet/copilot/marketing-blog.png
chromium,marketing,/blog,cyber,desktop,1280,800,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/desktop/cyber/marketing-blog.png
chromium,marketing,/blog,cyber,mobile-s,375,667,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/mobile-s/cyber/marketing-blog.png
chromium,marketing,/blog,cyber,tablet,768,1024,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/tablet/cyber/marketing-blog.png
chromium,marketing,/blog,earthy,desktop,1280,800,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/desktop/earthy/marketing-blog.png
chromium,marketing,/blog,earthy,mobile-s,375,667,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/mobile-s/earthy/marketing-blog.png
chromium,marketing,/blog,earthy,tablet,768,1024,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/tablet/earthy/marketing-blog.png
chromium,marketing,/blog,glass,desktop,1280,800,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/desktop/glass/marketing-blog.png
chromium,marketing,/blog,glass,mobile-s,375,667,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/mobile-s/glass/marketing-blog.png
chromium,marketing,/blog,glass,tablet,768,1024,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/tablet/glass/marketing-blog.png
chromium,marketing,/blog,kinetic,desktop,1280,800,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/desktop/kinetic/marketing-blog.png
chromium,marketing,/blog,kinetic,mobile-s,375,667,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/mobile-s/kinetic/marketing-blog.png
chromium,marketing,/blog,kinetic,tablet,768,1024,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/tablet/kinetic/marketing-blog.png
chromium,marketing,/blog,soft,desktop,1280,800,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/desktop/soft/marketing-blog.png
